Nr,level,answer,question
1,1,sein,to be
2,1,haben,"to have, to contain"
3,1,werden,"to become, will, to be done (passive voice)"
4,1,können,"can, to be able to"
5,1,wollen,to want
6,1,müssen,"must, to have to, to be obliged (to do something)"
7,1,sollen,"shall, to be asked (to do something)"
8,1,mögen,to like
9,1,dürfen,"to be allowed (to do something), may"
10,1,wissen,to know
11,1,machen,"to make, to prepare (e.g. food), to do"
12,1,tun,"to do, to do something to someone"
13,1,sagen,"to say, to tell"
14,1,gehen,"to go, to leave, to work, to function (coll.)"
15,1,sehen,"to see, to see (to something), to realise"
16,1,geben,to give
17,1,kommen,"to come, to make it (e.g. over something), to go to, to occur"
18,1,glauben,to believe
19,1,reden,to talk
20,1,hören,"to hear, to listen to"
21,1,finden,to find
22,1,bleiben,"to remain, to stay"
23,1,brauchen,to need
24,1,lieben,to love
25,1,bringen,"to bring, to take, to lead"
26,1,stehen,"to stand, to be, to appear"
27,1,heißen,"to be called, to mean"
28,1,nehmen,"to take, to cause oneself to be (in some state)"
29,1,sprechen,to speak
30,1,bekommen,"to receive, to catch (e.g. a cold), to sit well with someone"
31,1,vergessen,"to forget, to leave (forget to take)"
32,1,halten,"to hold, to stop (a movement), to support, to keep"
33,1,warten,"to wait, to maintain (e.g. a car)"
34,1,kennen,"to know, to be acquainted with, to be familiar with"
35,1,verstehen,"to understand, to get along with someone/something"
36,1,denken,"to think, to consider"
37,1,leben,to live
38,1,arbeiten,to work
39,1,essen,to eat
40,1,bieten,"to offer, to bid, to arise, to occur (of an opportunity) (refl.)"
41,2,aufstehen,"to get up, to be open (e.g. a window, door)"
42,2,anziehen,"to get dressed, to put on, to dress someone, to attract, to pull"
43,2,ausziehen,"to take something off, to undress, to pull out, to move out"
44,2,spielen,to play
45,2,fahren,"to go (by vehicle), to leave, to drive"
46,2,versuchen,to try
47,2,erzählen,"to tell, to narrate"
48,2,fragen,"to ask, to wonder (refl.)"
49,2,treffen,"to meet, to encounter"
50,2,hoffen,to hope
51,2,suchen,"to seek, to search"
52,2,trinken,to drink
53,2,lernen,"to learn, to study (revise/review materials), to train something"
54,2,zeigen,"to show, to point at, to demonstrate"
55,2,schlafen,to sleep
56,2,kaufen,to buy
57,2,laufen,"to walk, to flow (of a fluid), to run (of an event)"
58,2,erklären,"to explain, to declare, to assert"
59,2,zahlen,"to pay (for something), to atone for"
60,2,kochen,"to cook, to boil (to heat a liquid), to boil something"
61,2,waschen,to wash
62,2,aufwachen,to wake up
63,2,zeichnen,"to draw, to sketch"
64,2,wohnen,"to live, to reside, to dwell"
65,2,schreiben,to write
66,2,tragen,"to wear (clothing), to carry, to hold"
67,2,interessieren,"to interest, to be interested in (refl.)"
68,2,ziehen,"to pull, to drag, to move"
69,2,lesen,to read
70,2,kosten,"to cost, to taste"
71,2,wiederholen,to repeat
72,2,übersetzen,to translate
73,2,buchstabieren,to spell
74,2,bedeuten,"to mean, to signify"
75,2,funktionieren,"to function, to work"
76,2,erinnern,"to remind, to remember (refl.)"
77,2,fühlen,"to feel, to feel something (good/bad) (refl.)"
78,2,regnen,to rain
79,2,schneien,to snow
80,2,führen,"to lead, to guide"
81,3,passieren,"to happen (conversational), to move beyond, to strain"
82,3,verlieren,to lose
83,3,bestimmen,to determine
84,3,holen,to fetch
85,3,anrufen,"to call by telephone, to call on (someone)"
86,3,aufhören,"to stop, to cease an activity/process"
87,3,anfangen,to begin something new
88,3,gewinnen,to win
89,3,wehtun,"to hurt, to be painful"
90,3,öffnen,to open (formal)
91,3,bezahlen,"to pay, to pay someone"
92,3,beginnen,to begin (on a date/time)
93,3,benutzen,to use (something)
94,3,schicken,to send
95,3,lachen,to laugh
96,3,scheinen,"to seem, to shine"
97,3,ändern,to change (one's personality/behavior)
98,3,verkaufen,to sell
99,3,gehören,to belong to
100,3,sitzen,"to be seated, to stay, to fit (of clothing)"
101,3,stellen,"to position, to put, to catch"
102,3,setzen,"to set, to sit down (refl.)"
103,3,liegen,"to lie, to be located"
104,3,danken,to thank
105,3,legen,"to lay, to lean, to lie down"
106,3,schauen,to look at (Bayern/Austria)
107,3,besuchen,to visit
108,3,freuen,"to make glad, to be glad (refl.), to look forward (refl.)"
109,3,schließen,"to shut, to close, to lock, to conclude"
110,3,einladen,"to invite, to load (something into a container)"
111,3,gefallen,"to please, to appeal to"
112,3,wünschen,to wish
113,3,passen,"to fit, to suit"
114,3,folgen,to follow
115,3,ansehen,"to look at something, to watch something"
116,3,aussehen,"to look (like), to appear"
117,3,probieren,"to try, to taste, to sample, to probe"
118,3,träumen,to dream
119,3,fernsehen,to watch TV
120,3,schwimmen,"to swim, to float"
121,4,einschlafen,to fall asleep
122,4,reisen,to travel
123,4,feiern,to celebrate
124,4,antworten,"to answer, to reply"
125,4,wählen,"to choose, to dial (a number), to vote"
126,4,ausgehen,"to go out, to run out (e.g. of money)"
127,4,zählen,to count
128,4,ankommen,"to arrive, to depend on something"
129,4,dauern,"to last, to take (time)"
130,4,kennenlernen,"to meet someone, to get to know someone/something"
